ランク,社名,業種,エリア,Google評価,レビュー数,HP有無,HP状態(詳細),HP URL,HP検証状況,住所,電話,メール,営業切り口,備考
A,株式会社新見工務店,型枠工事・耐震工事,小平市,不明,-,有(放置),SSL非対応(http://)・ブログ2022年10月で停止・コラム2020年8月で停止,http://niimikoumuten.com/,検証済(実機),東京都小平市大沼町4-46-14,042-348-3085,niimi-230@outlook.jp,SSL未対応+Outlookメール→法人信頼性向上提案,★メール公開(Outlook) / 公共工事実績 / 約30年の業歴 / buyout初回送信済
A,渡辺会計事務所,税理士(相続・節税専門),多摩市,高評価,-,有(古い),SSL非対応(http://)・2012年制作・spacer.gif多用・テーブルレイアウト・電話番号が画像,http://www.watanabe-accountant.com/,検証済(実機),東京都多摩市落合1-6-2 サンライズ増田ビル4-C/1-B,042-375-3750,watanabe-masato@tkcnf.or.jp,SSL非対応+2012年制作→相続=高単価で投資対効果高い,★メール公開 / フォームもSSL無しで個人情報漏洩リスク / 営業メール送信済→buyout再送禁止
A,マキノ祭典(株式会社まきの),葬儀社,練馬区,4.8,198+,有(旧サイト放置),旧サイト(makinosaiten.co.jp)が文字化けで放置・新サイト(makino-saiten.com)あるが未リダイレクト,http://www.makinosaiten.co.jp/,検証済(実機),東京都練馬区上石神井4-9-24,0120-39-7062,kazmaki@makinosaiten.co.jp,旧サイト文字化け放置→ドメイン統合+301リダイレクト提案,★メール公開 / 従業員90名 / 売上15億 / 年間2400件施行
A,冨部会計事務所,税理士(会計事務所),北区,不明,-,有(テンプレ),TKC標準テンプレートHPで個性なし・事務所の強み未アピール,https://www.tonbekaikei.com/,検証済(実機),東京都北区滝野川7-2-7-604,03-3576-6964,tonbe_n@tkcnf.or.jp,TKCテンプレ脱却→昭和60年開業の歴史を活かしたオリジナルHP,★メール公開 / 昭和60年開業40年超 / 体育教師→税理士の異色経歴
A,大塚法務行政書士事務所,行政書士(墓じまい/改葬専門),葛飾区,不明,-,有(素朴),CMS利用だがデザイン素朴・メディア掲載実績(文春/女性自身/産経)未活用,https://main.ootuka-g.com/,検証済(実機),東京都葛飾区新宿6-4-15-708,03-3607-2357,mizu@ootuka-g.com,メディア掲載多数の権威をHP未活用→専門家ブランディングHP提案,★メール公開 / 著書あり / お墓じまい専門サイトも保有
B,株式会社長田工務店,工務店(一級建築士事務所),日野市,4.6,5,有(2024刷新も難あり),2024年2月リニューアル済もSEO/メタタグ弱,https://www.osada-k.co.jp/,検証済(実機),〒191-0062 東京都日野市多摩平5-5-5,042-581-1657,info@osada-k.co.jp,強みが伝わりきっていない→再調整提案,★メール公開 / 昭和34年創業 / デモHP作成・デプロイ済 / 営業メール送信済→buyout再送禁止
B,株式会社矢内工務店,工務店,日野市,3.9,10,有(2020年・やや古),2020年制作・画像多用で重い,https://www.yanai-koumuten.com/,検証済(実機),東京都日野市東豊田4-20-6,042-583-5163,なし,5-6年経過の再リニューアル,
B,鎌田相続税理士事務所,相続税理士・行政書士,日野市,4.7,15,有(やや古),日本語ドメイン・2010年代風・移転情報未更新箇所あり,https://相続専門.jp/,検証済(部分),東京都日野市高幡702-10,要確認,なし,独自ドメイン化+現代的刷新,相続=高単価 / 高幡不動駅徒歩3分
B,片平浩二税理士事務所,税理士(国税局OB),北区,4.6-4.8,-,有(テンプレ),WordPress+テンプレート(sg069)・jQuery1.11.2(2015年)・没個性,https://katahira-tax-office.com/,検証済(実機),東京都北区上十条3-2-4,070-6423-1331,katahira.tax.office@kita-katahira.jp,国税局OB+地域の顔→テンプレ脱却でストーリー訴求,★メール公開 / 北区サッカー協会役員・PTA会長
B,司法書士杉並第一事務所,司法書士(相続/おひとり様サポート),杉並区,高評価(ゼヒトモ),-,有(比較的モダン),WordPress+SWELL系テーマ・コンテンツSEO弱い・差別化ポイント未訴求,https://suginamidaiichi.com/,検証済(実機),東京都杉並区西荻北3-1-8 エステート西荻408,03-4400-0513,info@suginamidaiichi.com,葬儀社出身の強みをLP風トップページ+コンテンツSEOで訴求,★メール公開 / 2022年開業 / 葬儀社出身の異色経歴
B,株式会社筒井工務店,工務店(注文住宅/リフォーム/SW工法),葛飾区,高評価(葛飾区口コミ5位),-,有(致命的に古い),XHTML1.0・Shift_JIS文字化け・Dreamweaver時代のJS・GIF画像ナビ・スマホ完全非対応・推定2005-2010年制作,https://www.tutui.co.jp/,検証済(実機),東京都葛飾区亀有3-40-5,03-3602-4415,なし,meta description文字化け+20年前HP→全面刷新,メール未公開・電話営業のみ / 口コミ上位なのにHP致命的
B,新英田口工務店株式会社,建設会社(建築請負一式),北区,不明,-,有(古い),SSL非対応(http://)・meta description空欄・jQuery1.11.0(2014年)・フォームもSSL無し,http://www.taguchi-const.co.jp/,検証済(実機),東京都北区滝野川7-45-16,03-3916-3531,なし(フォーム),SSL未対応+meta空欄→新英グループ他社との落差を指摘,メール未公開 / 資本金9300万円 / 1953年創業
B,株式会社いぐさ建設,建設会社(注文住宅/リフォーム/不動産),葛飾区,不明,-,有(古い),古いCMS(RCMS系)・jQuery2.1.0(2014年)・fb:app_idプレースホルダー放置・推定2015-2017年制作,https://www.igusakensetsu.com/,検証済(実機),東京都葛飾区東立石3-31-5,03-3691-7733,なし(フォーム),大手不動産取引先多数なのにHP10年前→リニューアル提案,メール未公開 / 宅建免許(8)=35年以上 / 三井・東急・住友が取引先
除外,株式会社ハッピーホーム,工務店(塗装/屋根/リフォーム),日野市,4.9,15,有(モダン),2021年制作・正常,https://www.happyhome2021.jp/,検証済(実機),東京都日野市南平,-,-,対象外,モダンで隙が少ない
除外,株式会社守重建設,総合建築業(注文住宅),日野市,4.1,19,有(モダン),断熱・気密に強い・正常,https://www.morisigekensetu.jp/,検証済(実機),東京都日野市南平8-5-17,0120-940-282,-,対象外,
除外,有限会社大野住宅設備,工務店(水回り/給湯),日野市,4.8,6,有(モダン),2019年制作・正常,https://www.ohno-js.com/,検証済(実機),東京都日野市日野台,-,-,対象外,
除外,有限会社ネクストワン,工務店(雨漏り/外壁/注文住宅),日野市,不明,-,有(モダン),雨漏り30年・正常・活発,https://nextone23.com/,検証済(実機),東京都日野市南平9-29-10,042-511-9593,-,対象外,
除外,株式会社GROW,建設業,日野市,5.0,1,有(モダン),正常,https://grow-tokyo.jp/,検証済(実機),東京都日野市日野1027-1,042-582-7855,-,対象外,
除外,山口浜屋税理士法人,税理士,日野市,5.0,1,有(モダン),2023年制作・正常・WordPress,https://yhz.or.jp/,検証済(実機),東京都日野市豊田,-,-,対象外,
除外,セレモハイネス,葬儀社,日野市,5.0,27,有(モダン),2026年も継続更新・GTM/LINE実装,https://www.ceremo-hainesu.co.jp/,検証済(実機),東京都日野市旭が丘,-,-,対象外,
除外,セレモニー小峰,葬儀社,日野市,4.8,29,有(やや古),2022年リニューアル済・News活発,https://www.ceremony-komine.jp/,検証済(実機),東京都日野市程久保,-,-,対象外,リニューアル直後で営業しにくい
S,藤田葬儀社,葬儀社,新居浜市,高評価,-,有(古い),古いデザイン・スマホ対応不十分・情報更新少ない,,未検証,愛媛県新居浜市,0897-32-3488,-,古いHP全面刷新→葬儀社の信頼感訴求,地域密着型葬儀社
S,まごころ整骨院,整骨院,新居浜市,高評価,-,無(ポータルのみ),自社HP未保有・ポータルサイト掲載のみ,,未検証,〒792-0013 愛媛県新居浜市港町3-7,0897-66-8026,-,HP新規制作→予約導線+MEO強化,営業時間:平日9-12/14:30-18 土10-14 日祝休
S,伊東税理士・司法書士・行政書士事務所,士業(税理士/司法書士/行政書士),新居浜市,不明,-,無(まいぷれのみ),自社HP未保有・まいぷれ掲載のみ,https://niihama.mypl.net/shop/00000348282/,未検証,愛媛県新居浜市宮西町5-10,0897-47-5881,itouzeirisi_3741@krf.biglobe.ne.jp,HP新規制作→3士業ワンストップの強みを訴求,★メール公開 / 伊東省司(税理士/元国税40年)+伊東司郎(司法書士・行政書士/元法務局41年) 営業8:30-17:30 / 司法書士宛:itou.shirou@taupe.plala.or.jp / 営業メール送信済→buyout再送禁止
S,株式会社新居浜建設,建設業(土木/建築),新居浜市,不明,-,無,自社HP未保有,,未検証,愛媛県新居浜市庄内町5丁目4番12号,0897-33-3303,-,HP新規制作→施工実績アピールで受注増,代表:菅竜太郎 資本金2600万円 従業員3名
A,妻鳥パートナーズ税理士法人,税理士法人,新居浜市,不明,-,有(TKCテンプレ),TKC標準テンプレートHP・没個性・法人の強み未訴求,https://mendori.tkcnf.com/,未検証,〒792-0021 愛媛県新居浜市泉宮町1番5号,0897-34-1766,-,TKCテンプレ脱却→40年超の実績を活かしたオリジナルHP,R3.1法人化 個人事務所40年超の実績 FAX:0897-33-3557
A,譽田幸弘税理士事務所,税理士,新居浜市,不明,-,有(TKCテンプレ),TKC標準テンプレートHP・没個性・人柄未反映,https://yukihirohonda.tkcnf.com/,未検証,〒792-0035 愛媛県新居浜市西の土居町2丁目14番29号,0897-47-8691,-,TKCテンプレ脱却→「経営改善のホームドクター」ブランディング,FX2活用・巡回監査実施・経営改善計画策定支援
A,新居浜葬儀社(愛結会館),葬儀社,新居浜市,高評価,-,有(古い),古いデザイン・プラン比較しにくい・予約導線弱い,http://niihamasougisha.com/,未検証,〒792-0004 愛媛県新居浜市桜木町1番42号,0897-33-9561,niihamazouka@biscuit.ocn.ne.jp,HP全面リニューアル→プラン比較+予約導線強化,★メール公開 / フリーダイヤル:0120-33-9561 川西館(泉池町)+川東館(東雲町)の3拠点 会員制度「愛結会」あり
A,ワダケンホーム(有限会社和田建設),工務店(注文住宅/リフォーム),新居浜市,高評価,-,有(やや古い),やや古いデザイン・施工事例の見せ方弱い,http://www.wadakenhome.co.jp/,未検証,〒792-0012 愛媛県新居浜市八幡1丁目2-55,0897-46-0424,info@wadakenhome.co.jp,施工事例ギャラリー強化+モダンデザインへリニューアル,★メール公開 / 代表:和田吉仁 自然素材の家 Instagram:@wadakenhome 営業8-18日休 / 営業メール送信済→buyout再送禁止
B,白石工務店,工務店,新居浜市,不明,-,有(古い),古いデザイン・情報量少ない,,未検証,愛媛県新居浜市,-,-,HP情報不足→施工実績+会社紹介充実化,地元工務店
B,さいとう整骨院,整骨院,新居浜市,高評価,-,有(やや古い),やや古い・施術メニュー不明瞭,,未検証,愛媛県新居浜市,-,-,施術メニュー明確化+予約導線追加,地域密着型整骨院
B,真鍋司法書士事務所,司法書士,新居浜市,不明,-,有(古い),古いデザイン・業務内容不明瞭,,未検証,愛媛県新居浜市,-,-,業務内容明確化+相談導線強化,個人司法書士事務所
B,森賀建設,建設業,新居浜市,不明,-,有(古い),古いデザイン・実績紹介少ない,,未検証,愛媛県新居浜市,-,-,施工実績アピール+SEO対策,地元建設会社
B,だいふく鍼灸整骨院,鍼灸整骨院,新居浜市,高評価,-,有(やや古い),やや古い・予約システムなし,,未検証,愛媛県新居浜市,-,-,予約システム導入+施術メニュー整理,鍼灸+整骨院
B,いとうはりきゅう整骨院,鍼灸整骨院,新居浜市,不明,-,有(古い),古いデザイン・スマホ非対応の可能性,,未検証,愛媛県新居浜市,-,-,スマホ対応+予約導線追加,鍼灸+整骨院
B,よつば司法書士事務所,司法書士,新居浜市,不明,-,有(やや古い),やや古いデザイン・サービス内容不明瞭,,未検証,愛媛県新居浜市,-,-,サービス内容明確化+相談予約導線,個人司法書士事務所
